LOCAL;SECAO
EE Idalino Ribeiro;028
EE Idalino Ribeiro;026
EE Idalino Ribeiro;030
EE Idalino Ribeiro;254
EE Idalino Ribeiro;262
EE Idalino Ribeiro;041
EE Idalino Ribeiro;040
EE Idalino Ribeiro;108
EE Idalino Ribeiro;134
EE Idalino Ribeiro;039
EE Idalino Ribeiro;104
EE Idalino Ribeiro;258
EE Idalino Ribeiro;110
EE Idalino Ribeiro;102
EE Idalino Ribeiro;027
EE Idalino Ribeiro;029
EE Elidio Duque;025
EE Elidio Duque;131
EE Elidio Duque;022
EE Elidio Duque;115
EE Elidio Duque;109
EE Elidio Duque;119
EE Elidio Duque;186
EE Elidio Duque;261
EE Elidio Duque;024
EE Elidio Duque;206
EE Elidio Duque;023
EE Elidio Duque;238
EE Elidio Duque;268
EE Prediliano Santana;124
EE Prediliano Santana;121
EE Prediliano Santana;187
EE Prediliano Santana;257
EE Prediliano Santana;260
EE Prediliano Santana;132
EE Prediliano Santana;212
EE Prediliano Santana;118
EE Prediliano Santana;252
EE Prediliano Santana;237
EE Prediliano Santana;267
EE Levindo Lambert;045
EE Levindo Lambert;048
EE Levindo Lambert;111
EE Levindo Lambert;122
EE Levindo Lambert;144
EE Levindo Lambert;047
EE Levindo Lambert;046
EE Levindo Lambert;049
EE Levindo Lambert;117
EE Levindo Lambert;264
EM Aurea de Paula;214
EM Aurea de Paula;146
EM Aurea de Paula;190
EM Aurea de Paula;174
EM Aurea de Paula;228
EM Aurea de Paula;245
EM Aurea de Paula;266
EE Joao Porfirio;032
EE Joao Porfirio;031
EE Joao Porfirio;037
EE Joao Porfirio;038
EE Joao Porfirio;033
EE Joao Porfirio;034
EE Joao Porfirio;035
EE Joao Porfirio;036
EE Manoel Pedro Silva;093
EE Manoel Pedro Silva;114
EE Manoel Pedro Silva;095
EE Manoel Pedro Silva;092
EE Manoel Pedro Silva;94
EE Jose Miranda Barbosa;123
EE Jose Miranda Barbosa;043
EE Jose Miranda Barbosa;113
EE Jose Miranda Barbosa;116
EE Jose Miranda Barbosa;42
EE João José Ferreira;090
EE João José Ferreira;089
EE João José Ferreira;091
EM Nova Fátima;076
EM Nova Fátima;125
EM Cantinho;062
EM Cantinho;061
EE Paulo Teixeira Costa;064
EE Paulo Teixeira Costa;063
EM Francisco Pereira da Silva;088
EM Jacurutu;188
EM Jacurutu;075
EM Alfim Ferreira Mendes;096
EM Canela Dema;144
EM Baixa Grande;057
EM Taboleiro;086
EM Sebastião Moreira da Silva;142
Conselho Comunitario Canela D'Ema;220
Associação Rural Rio das Antas;247
EM Boqueirão Alto;255
EM Antonio dos Anjos;060
AMUSA;239
Associação Rural da Barra do Rio;164
Associação Corrego da Empoeira;145
Associação de Laje;236
EM Formosa;215
Associação Boqueirão Medio;059
EM Lajinha;077
Associação Barreiros;143
Associação Boqueirão Baixo;256
EM Sucesso;170
Associação Caiçara;168
Associação Pinhãozeiro;158
