;LOCAL;SECAO;CANDIDATO;VOTOS
0;EE Idalino Ribeiro;28;KINCA DIAS;157
1;EE Idalino Ribeiro;28;ANDERSON BRITO;22
2;EE Idalino Ribeiro;28;BENONI;82
3;EE Idalino Ribeiro;26;KINCA DIAS;163
4;EE Idalino Ribeiro;26;ANDERSON BRITO;25
5;EE Idalino Ribeiro;26;BENONI;79
6;EE Idalino Ribeiro;30;KINCA DIAS;151
7;EE Idalino Ribeiro;30;ANDERSON BRITO;23
8;EE Idalino Ribeiro;30;BENONI;83
9;EE Idalino Ribeiro;254;KINCA DIAS;168
10;EE Idalino Ribeiro;254;ANDERSON BRITO;12
11;EE Idalino Ribeiro;254;BENONI;83
12;EE Idalino Ribeiro;262;KINCA DIAS;180
13;EE Idalino Ribeiro;262;ANDERSON BRITO;19
14;EE Idalino Ribeiro;262;BENONI;97
15;EE Idalino Ribeiro;41;KINCA DIAS;173
16;EE Idalino Ribeiro;41;ANDERSON BRITO;28
17;EE Idalino Ribeiro;41;BENONI;70
18;EE Idalino Ribeiro;40;KINCA DIAS;155
19;EE Idalino Ribeiro;40;ANDERSON BRITO;21
20;EE Idalino Ribeiro;40;BENONI;65
21;EE Idalino Ribeiro;108;KINCA DIAS;177
22;EE Idalino Ribeiro;108;ANDERSON BRITO;29
23;EE Idalino Ribeiro;108;BENONI;74
24;EE Idalino Ribeiro;134;KINCA DIAS;178
25;EE Idalino Ribeiro;134;ANDERSON BRITO;24
26;EE Idalino Ribeiro;134;BENONI;76
27;EE Idalino Ribeiro;39;KINCA DIAS;170
28;EE Idalino Ribeiro;39;ANDERSON BRITO;25
29;EE Idalino Ribeiro;39;BENONI;65
30;EE Idalino Ribeiro;104;KINCA DIAS;163
31;EE Idalino Ribeiro;104;ANDERSON BRITO;25
32;EE Idalino Ribeiro;104;BENONI;75
33;EE Idalino Ribeiro;258;KINCA DIAS;141
34;EE Idalino Ribeiro;258;ANDERSON BRITO;26
35;EE Idalino Ribeiro;258;BENONI;80
36;EE Idalino Ribeiro;110;KINCA DIAS;177
