;LOCAL;SECAO;CANDIDATO;VOTOS
0;EE Idalino Ribeiro;28;MARCELO PETRONE;36
1;EE Idalino Ribeiro;28;LORIM DA PADARIA;7
2;EE Idalino Ribeiro;28;JOÃO PELA;9
3;EE Idalino Ribeiro;28;VICTOR MOTORISTA BODÃO;3
4;EE Idalino Ribeiro;28;CLAUDIO SAMPA;1
5;EE Idalino Ribeiro;28;ADEMIR PEDREIRO;1
6;EE Idalino Ribeiro;28;VERONICA CHAVES;4
7;EE Idalino Ribeiro;28;VALDECIR BADEGA;1
8;EE Idalino Ribeiro;28;DORINHA;4
9;EE Idalino Ribeiro;28;BETINHA DE LÉ;8
10;EE Idalino Ribeiro;28;DIM DEFICIENTE VISUAL;2
11;EE Idalino Ribeiro;28;EDSON MIRANDA;4
12;EE Idalino Ribeiro;28;TAZINHA;1
13;EE Idalino Ribeiro;28;SOLY;1
14;EE Idalino Ribeiro;28;GIL PAGÓLE;1
15;EE Idalino Ribeiro;28;NADIA FRANCO;1
16;EE Idalino Ribeiro;28;THIAGO DURÃES;14
17;EE Idalino Ribeiro;28;CLEYTON GARDENAL;1
18;EE Idalino Ribeiro;28;JUNIO BARBOSA;3
19;EE Idalino Ribeiro;28;PALOMA PIPOQUINHA;1
20;EE Idalino Ribeiro;28;NILO DO TAXI;2
21;EE Idalino Ribeiro;28;TIÃO DE OLEGARIO;3
22;EE Idalino Ribeiro;28;MESSIAS;1
23;EE Idalino Ribeiro;28;NINHÃO;3
24;EE Idalino Ribeiro;28;KÉSLEY;3
25;EE Idalino Ribeiro;28;MARIA CLARA;4
26;EE Idalino Ribeiro;28;JOÃO ERIK PROTETOR;1
27;EE Idalino Ribeiro;28;NILCE ARTESÃ;1
28;EE Idalino Ribeiro;28;MOACIR OLIVEIRA;7
29;EE Idalino Ribeiro;28;ELIETE SILVEIRA;1
30;EE Idalino Ribeiro;28;ELLEN JÉSSICA;1
31;EE Idalino Ribeiro;28;GATINHO SARMENTO;3
32;EE Idalino Ribeiro;28;HENILTON IMÓVEIS;3
33;EE Idalino Ribeiro;28;ÍCARO CABELEREIRO;1
34;EE Idalino Ribeiro;28;ZEZINHO DO SALÃO;6
35;EE Idalino Ribeiro;28;RUBINHO ENFERMEIRO;1
36;EE Idalino Ribeiro;28;LETICIA ASSISTENTE SOCIAL;1
37;EE Idalino Ribeiro;28;CIDA;1
38;EE Idalino Ribeiro;28;PEDINHA DO BAR;1
39;EE Idalino Ribeiro;28;JADSON;17
40;EE Idalino Ribeiro;28;JOÃO DETETIVE;8
41;EE Idalino Ribeiro;28;DALVA;1
42;EE Idalino Ribeiro;28;BENE DA BALANÇA;2
43;EE Idalino Ribeiro;28;LIA DE BIDA;2
44;EE Idalino Ribeiro;28;CLAUDINHA;1
45;EE Idalino Ribeiro;28;VILSINHO;1
46;EE Idalino Ribeiro;28;VAGNER DA DENGUE;2
47;EE Idalino Ribeiro;28;MOREIRA;10
48;EE Idalino Ribeiro;28;GLAUBER DA SAÚDE;1
49;EE Idalino Ribeiro;28;DAYANNE CARDOSO;5
50;EE Idalino Ribeiro;28;ZE MILTON;1
51;EE Idalino Ribeiro;28;ERIC ERLON;6
52;EE Idalino Ribeiro;28;MAURICIO COSTA;1
53;EE Idalino Ribeiro;28;GENIVALDO BARROS;3
54;EE Idalino Ribeiro;28;DILSON CORINGA DO BOI DE JANEI;3
55;EE Idalino Ribeiro;28;FABIO SOUZA;1
56;EE Idalino Ribeiro;28;CAROL RODRIGUES;1
57;EE Idalino Ribeiro;28;JOÃO LUIZ DE NEGÃO;28
58;EE Idalino Ribeiro;28;EILTON SANTIAGO;6
59;EE Idalino Ribeiro;28;JARBINHAS;1
60;EE Idalino Ribeiro;28;ALAN MIRANDA;1
61;EE Idalino Ribeiro;28;JUNIOR GARÇOM;5
62;EE Idalino Ribeiro;28;CARLIM;9
63;EE Idalino Ribeiro;28;SELMA MORENA;1
64;EE Idalino Ribeiro;26;MARCELO PETRONE;27
65;EE Idalino Ribeiro;26;LORIM DA PADARIA;9
66;EE Idalino Ribeiro;26;JOÃO PELA;7
67;EE Idalino Ribeiro;26;VICTOR MOTORISTA BODÃO;2
68;EE Idalino Ribeiro;26;CLAUDIO SAMPA;2
69;EE Idalino Ribeiro;26;VERONICA CHAVES;2
70;EE Idalino Ribeiro;26;VALDECIR BADEGA;4
71;EE Idalino Ribeiro;26;DORINHA;4
72;EE Idalino Ribeiro;26;BETINHA DE LÉ;5
73;EE Idalino Ribeiro;26;LUIS VINICIUS DO CANTINHO;1
74;EE Idalino Ribeiro;26;WESLEY GARÇOM;1
75;EE Idalino Ribeiro;26;PEDRO (PH);2
76;EE Idalino Ribeiro;26;EDSON MIRANDA;3
77;EE Idalino Ribeiro;26;TAZINHA;1
78;EE Idalino Ribeiro;26;PRISCILA MATOS;3
79;EE Idalino Ribeiro;26;EVANDRO PINHO;1
80;EE Idalino Ribeiro;26;GIL PAGÓLE;1
81;EE Idalino Ribeiro;26;NADIA FRANCO;1
82;EE Idalino Ribeiro;26;THIAGO DURÃES;8
83;EE Idalino Ribeiro;26;CLEYTON GARDENAL;1
84;EE Idalino Ribeiro;26;JUNIO BARBOSA;10
85;EE Idalino Ribeiro;26;NILO DO TAXI;3
86;EE Idalino Ribeiro;26;TIÃO DE OLEGARIO;6
87;EE Idalino Ribeiro;26;MESSIAS;4
88;EE Idalino Ribeiro;26;NINHÃO;3
89;EE Idalino Ribeiro;26;KÉSLEY;3
90;EE Idalino Ribeiro;26;MARIA CLARA;8
91;EE Idalino Ribeiro;26;MOACIR OLIVEIRA;4
92;EE Idalino Ribeiro;26;DEDÉ CAIPIRA;1
93;EE Idalino Ribeiro;26;GATINHO SARMENTO;2
