SECAO;CANDIDATO;VOTOS
022;MARCELO PETRONE;27
022;LORIM DA PADARIA;1
022;JOÃO PELA;4
022;MARINA SANTANA;1
022;CLAUDIO SAMPA;2
022;VERONICA CHAVES;1
022;ANISIA DO SANTO ANTONIO;1
022;VALDECIR BADEGA;1
022;DORINHA;2
022;BETINHA DE LÉ;2
022;PEDRO (PH);1
022;RAFA XCAR;1
022;ZOIM;1
022;TAZINHA;3
022;PRISCILA MATOS;3
022;EVANDRO PINHO;2
022;SOLY;1
022;GIL PAGÓLE;4
022;NADIA FRANCO;3
022;THIAGO DURÃES;7
022;JUNIO BARBOSA;24
022;GERALDINHO;1
022;NILO DO TAXI;2
022;TIÃO DE OLEGARIO;6
022;LEIDE DA SAÚDE;1
022;NINHÃO;2
022;KÉSLEY;2
022;MARIA CLARA;8
022;NILCE ARTESÃ;1
022;MOACIR OLIVEIRA;6
022;DEDÉ CAIPIRA;1
022;MÁRCIO EVENTOS;1
022;HENILTON IMÓVEIS;2
022;ÍCARO CABELEREIRO;2
022;ZEZINHO DO SALÃO;10
022;RUBINHO ENFERMEIRO;2
022;SERGINHO DA AUTO ELETRICA;2
022;CIDA;1
022;JADSON;6
022;JOÃO DETETIVE;12
022;DALVA;1
022;BENE DA BALANÇA;2
022;LIA DE BIDA;1
022;MOREIRA;13
022;PEU;1
022;CID RODRIGUES;5
022;DAYANNE CARDOSO;4
022;ZE MILTON;2
022;ERIC ERLON;4
022;MAURICIO COSTA;1
022;DILSON CORINGA DO BOI DE JANEI;1
022;ELIANY MAE ATIPICA;2
022;JOÃO LUIZ DE NEGÃO;19
022;EILTON SANTIAGO;12
022;JARBINHAS;1
022;GERSON TEIXEIRA;1
022;FABIO SALES;2
022;JUNIOR GARÇOM;5
022;CARLIM;7
023;MARCELO PETRONE;30
023;LORIM DA PADARIA;2
023;JOÃO PELA;5
023;MARINA SANTANA;2
023;VICTOR MOTORISTA BODÃO;1
023;CLAUDIO SAMPA;2
023;VERONICA CHAVES;1
023;VALDECIR BADEGA;3
023;DORINHA;2
023;BETINHA DE LÉ;6
023;LUIS VINICIUS DO CANTINHO;1
023;EDSON MIRANDA;5
023;ZOIM;1
023;TAZINHA;6
